sn,sector,company_name,ticker,company_id,year,quarter,period,month,no._of_months,turnoverrevenue_gross_earnings_gross_premium_income_n(k),profit_before_tax_n(k),profit_after_tax_n(k),total_comprehensive_income_n(k),property_plant_and__equipment_n(k),total_asset_n(k),total_liabilities_n(k),issued_share_capital_n(k)
1406,CONSUMER GOODS,International Breweries Plc,INTBREW,79,2019,1,2019:Q1,MAR,3,35096776,-5317883,-3987684,-3987684,246044012,319765859,288592620,4297931
1407,CONSUMER GOODS,International Breweries Plc,INTBREW,79,2019,2,2019:Q2,JUN,6,68630676,-10526130,-6841397,-6841397,248041844,347346119,319026593,4297931
1408,CONSUMER GOODS,International Breweries Plc,INTBREW,79,2019,3,2019:Q3,SEP,9,97260347,-24076530,-16445354,-16445354,255244391,351472941,332757373,4297931
1409,CONSUMER GOODS,International Breweries Plc,INTBREW,79,2019,4,2019:Q4,DEC,12,35091153,-13362854,-9138043,-9138043,273843992,373369654,158192974,4297931
1410,CONSUMER GOODS,International Breweries Plc,INTBREW,79,2020,1,2020:Q1,MAR,3,35348525,-7694268,-5645999,-5645999,267418371,362883260,198289792,13431034
1411,CONSUMER GOODS,International Breweries Plc,INTBREW,79,2020,2,2020:Q2,JUN,6,60616077,-11982513,-9357224,-18397356,264115979,354500647,202658536,13431034
1412,CONSUMER GOODS,International Breweries Plc,INTBREW,79,2020,3,2020:Q3,SEP,9,95768220,-17719946,-10877162,-20219058,260189461,366498341,216477931,13431034
1413,FINANCIAL SERVICES: INSURANCE,International Energy Insurance Plc,INTENEGINS,80,2015,1,2015:Q1,MAR,3,1674968,789145,647009,647009,1864205,9074218,8548708,642043
1414,FINANCIAL SERVICES: INSURANCE,International Energy Insurance Plc,INTENEGINS,80,2015,2,2015:Q2,JUN ,6,2542499,-78566,-78566,-78566,1894521,8834654,8732402,642043
1415,FINANCIAL SERVICES: INSURANCE,International Energy Insurance Plc,INTENEGINS,80,2015,3,2015:Q3,SEP,9,3350230,-598229,-643382,-645776,1894521,8834654,8732402,642043
1416,FINANCIAL SERVICES: INSURANCE,International Energy Insurance Plc,INTENEGINS,80,2015,4,2015:Q4,DEC,12,4170684,-698916,-767578,-713915,2217312,7482730,10069919,642043
1417,FINANCIAL SERVICES: INSURANCE,International Energy Insurance Plc,INTENEGINS,80,2016,1,2016:Q1,MAR,3,878332,-52492,-52492,5351,1720994,7577271,9293394,642043
1418,FINANCIAL SERVICES: INSURANCE,International Energy Insurance Plc,INTENEGINS,80,2016,2,2016:Q2,JUN,6,1414393,-828611,-828611,-817690,1633134,7659020,10597775,642043
1419,FINANCIAL SERVICES: INSURANCE,International Energy Insurance Plc,INTENEGINS,80,2016,3,2016:Q3,SEP,9,2036582,-641806,-641806,-634537,1610963,7697722,10453322,642043
1420,FINANCIAL SERVICES: INSURANCE,International Energy Insurance PLC,INTENEGINS,80,2016,4,2016:Q4,DEC,12,2460448,-3555140,-3665569,-2789732,3282970,8957292,14334213,642043
1421,FINANCIAL SERVICES: INSURANCE,International Energy Insurance PLC,INTENEGINS,80,2017,4,2017:Q4,DEC,12,1142744,-2080492,-2248261,-2319906,3711137,8494013,16191640,642043
1422,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2015,1,2015:Q1,MAR,3,3108554,-557894,-557894,-437567,25528982,37866400,25838755,3131351
1423,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2015,2,2015:Q2,JUN,6,5816855,-1919315,-1919315,-1820115,25087736,37878591,27233495,3131351
1424,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2015,3,2015:Q3,SEP,9,7227868,-2353377,-2353377,-2261992,24855148,37345332,27142113,3131351
1425,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2015,4,2015:Q4,DEC,12,8148580,-7899057,-8036924,-8937893,24853772,33889618,30401117,3131351
1426,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2016,1,2016:Q1,MAR,3,785961,-1051467,-1051467,-1209862,24551992,33901655,31623015,3131351
1427,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2016,2,2016:Q2,JUN,6,1167721,-2301819,-2301819,-2902368,24472491,33140517,32554384,3131351
1428,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2016,3,2016:Q3,SEP,9,1404250,-3406925,-3406925,-3966720,24168989,32607077,33085294,3131351
1429,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2016,4,2016:Q4,DEC,12,3078804,-21344797,-21441575,-22514077,22329166,29948162,48973738,3131351
1430,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2017,1,2017:Q1,MAR,3,221887,-519733,-519733,-519733,22494826,29697962,49243271,3131351
1431,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2017,2,2017:Q2,JUN,6,544257,-3466251,-3466251,-3466251,21943168,28456210,50948038,3131351
1432,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2017,3,2017:Q3,SEP,9,1016675,-5283801,-5283801,-5283801,21703743,27100745,51410152,3131351
1433,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2017,4,2017:Q4,DEC,12,1900966,-13081595,-13208747,-9148674,21165811,28001565,56175815,3131351
1434,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2018,2,2018:Q2,JUN,6,662705,-4792943,-4792943,-4792943,18892749,25943010,58910204,3131351
1435,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2018,3,2018:Q3,SEP,9,776810,-5541217,-5541217,-5541217,18400368,25601189,59316689,3131351
1436,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2018,4,2018:Q4,DEC,12,936281,-6583280,-6593632,-7365687,17809158,24038389,59578333,3131351
1437,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2019,1,2019:Q1,MAR,3,141756,-555695,-555695,-555695,17711416,24037276,60132907,3131351
1438,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2019,2,2019:Q2,JUN,6,333012,-1355578,-1355578,-1355578,17409057,23569411,60464925,3131351
1439,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2019,3,2019:Q3,SEP,9,510758,-2109603,-2109603,-2109603,17107013,23230419,60879958,3131351
1440,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2019,4,2019:Q4,DEC,12,701939,40626789,40626789,40626789,7631707,16085622,10998770,3131351
1441,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2020,1,2020:Q1,MAR,3,193478,22688,22688,22688,6141096,21957350,17243414,3131351
1442,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2020,2,2020:Q2,JUN,6,327007,38293,38293,38293,5948681,21813282,17083741,3131351
1443,OIL AND GAS,Japaul Oil and Maritime Services Plc,JAPAULOIL,81,2020,3,2020:Q3,SEP,9,504651,91644,91050,91050,6111865,21717147,16934849,3131351
1444,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2015,1,2015:Q1,DEC,3,418000,-112000,-127000,-127000,1591000,10133000,7072000,195000
1445,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2015,2,2015:Q2,MAR,6,1260000,-580000,-610000,-610000,1847000,10114000,7385000,195000
1446,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2015,3,2015:Q3,JUN,9,1896000,-919000,-964000,-964000,1856000,9749000,7374000,195000
1447,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2015,4,2015:Q4,SEP,12,2425000,-171000,-254000,-158000,1601000,11303000,8114000,195000
1448,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2016,1,2016:Q1,DEC,3,494000,16000,4000,4000,1559000,11843000,8558000,195000
1449,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2016,2,2016:Q2,MAR,6,1326000,38000,7000,7000,1584000,10436000,7240000,195000
1450,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2016,3,2016:Q3,JUN,9,2056000,68000,21000,21000,1550000,10021000,6812000,195000
1451,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2016,4,2016:Q4,SEP,12,2665000,204000,97000,94000,1567000,12085000,8803000,195000
1452,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2017,2,2017:Q2,MAR,6,1323000,30000,-44000,-44000,7861000,11185000,7947000,195000
1453,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2017,3,2017:Q3,JUN,9,1832000,-110000,-152000,-152000,1552000,10957000,7827000,195000
1454,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2017,4,2017:Q4,SEP,12,2287000,-223000,-728000,-728000,1607000,2470000,1544000,195000
1455,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2018,1,2018:Q1,DEC,3,312000,2000,-7000,-7000,1674000,10424000,2553000,195000
1456,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2018,2,2018:Q2,MAR,6,1860000,17000,14000,,1602000,11059000,8422000,195000
1457,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2018,3,2018:Q3,JUN,9,2297000,47000,38000,38000,1604000,10769000,5552000,195000
1458,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2018,4,2018:Q4,SEP,12,2674000,160000,165000,182000,1680000,10334000,7527000,195000
1459,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2019,1,2019:Q1,DEC,3,341000,-84000,-86000,-86000,1697000,11372000,8657000,195000
1460,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2019,2,2019:Q2,MAR,6,1219000,22000,10000,10000,1671000,10996000,8178000,195000
1461,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2019,3,2019:Q3,JUN,9,1509000,79000,66000,66000,1666000,10326000,7452000,195000
1462,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2019,4,2019:Q4,SEP,12,1793000,236000,218000,240000,1702000,10630000,7829000,195000
1463,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2020,2,2020:Q2,MAR,6,907000,-541000,-543000,-543000,1715000,11647000,5963000,195000
1464,CONGLOMERATES,John Holt Plc,JOHNHOLT,82,2020,3,2020:Q3,JUN,6,1197000,-545000,-692000,-692000,1762000,11175000,9066000,195000
1465,SERVICES,Juli Plc,JULI,83,2015,1,2015:Q1,MAR,3,42496.952,-6475.821,-6475.721,,218371.116,241000.539,211545.024,99952.502
1466,SERVICES,Juli Plc,JULI,83,2015,2,2015:Q2,JUN,6,82717.462,-15041.344,-15041.344,,215597.143,235713.514,218435.772,99952.502
1467,SERVICES,Juli Plc,JULI,83,2015,3,2015:Q3,SEP,9,124285.574,-28435.855,-28435.855,,213054.369,228497.834,225888.427,99952.502
1468,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2015,1,2015:Q1,MAR,3,43487540,2119304,1032115,1121580,65143237,233099474,208189893,660000
1469,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2015,2,2015:Q2,JUN,6,77832486,3761087,2256652,2377738,65143237,233099474,208189893,660000
1470,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2015,3,2015:Q3,SEP,9,111503000,5184890,3007236,3067736,60649715,235753217,210274724,660000
1471,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2015,4,2015:Q4,DEC,12,133807574,6499973,2440140,1760112,58378513,245086270,220794315,660000
1472,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2016,1,2016:Q1,MAR,3,33240000,1639402,950853,930693,58112978,248221099,223797997,660000
1473,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2016,2,2016:Q2,JUN,6,47836000,272164,136082,127020,53175370,242876201,220437227,660000
1474,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2016,3,2016:Q3,SEP,9,94321500,-1640905,-3321915,-3321915,51950753,244600365,225610324,660000
1475,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2016,4,2016:Q4,DEC,12,138993752,-1498029,-3816792,3005360,49712834,259178932,233862617,660000
1476,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2017,1,2017:Q1,MAR,3,34153222,-17109,-426948,-99077,47433458,245071735,219851498,660000
1477,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2017,2,2017:Q2,JUN,6,69728000,55782,-364729,143771,45662859,242053382,216593297,660000
1478,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2017,3,2017:Q3,SEP,9,105485000,81562,-349675,58824,43738879,243946156,-218569266,660000
1479,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2017,4,2017:Q4,DEC,12,141890498,3739140,2572040,4779617,43621129,275393793,245297862,660000
1480,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2018,1,2018:Q1,MAR,3,35324222,2210486,1491449,2948578,43589420,243926499,-214180424,660000
1481,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2018,2,2018:Q2,JUN,6,73077504,3929938,2594032,4713575,41688524,238583122,-95213628,660000
1482,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2018,3,2018:Q3,SEP,9,118472497,5055986,3403281,6661569,39726431,263880497,216242755,660000
1483,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2018,4,2018:Q4,DEC,12,194617712,10197667,6101815,7000929,41342451,288429999,253012109,660000
1484,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2019,1,2019:Q1,MAR,3,62924379,1239730,485995,265121,50738654,321825322,286142856,660000
1485,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2019,2,2019:Q2,JUN,6,131783020,4561388,2834876,3607439,50514516,329777810,293397401,660000
1486,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2019,3,2019:Q3,SEP,9,192271501,7503390,5312789,6423198,48794605,330735573,291537810,660000
1487,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2019,4,2019:Q4,DEC,12,264557363,14684932,10304191,10564059,58098325,326647884,283247387,660000
1488,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2020,1,2020:Q1,MAR,3,55913070,1054269,412450,947747,46232992,337884729,296610877,660000
1489,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2020,2,2020:Q2,JUN,6,102055435,-1547663,-1931075,,46963361,314089734,120183891,660000
1490,CONSTRUCTION/REAL ESTATE,Julius Berger Nigeria Plc,JBERGER,84,2020,3,2020:Q3,SEP,9,168418602,-996490,-1981626,1302563,45727657,343720918,,792000
1491,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2015,1,2015:Q1,MAR,3,74118524,6089252,5842504,3637813,364397315,453012397,276860669,2277451
1492,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2015,2,2015:Q2,JUN,6,152178868,30847724,27316349,1708440,364397315,453012397,276860669,2277451
1493,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2015,3,2015:Q3,SEP,9,215039331,36511542,32393704,12965592,364397315,453012397,276860669,2277451
1494,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2015,4,2015:Q4,DEC,12,267234239,29286847,27162969,18377662,364397318,451682798,275531068,2277451
1495,INDUSTRIAL GOODS,Lafarge Africa Plc,WAPCO,85,2016,1,2016:Q1,MAR,3,52420896,-2215663,-1872999,-7386956,368237928,476892260,297970844,2277451
1496,INDUSTRIAL GOODS,Lafarge Africa Plc,WAPCO,85,2016,2,2016:Q2,JUN,6,107364799,-30184199,-30246243,-30648861,390681601,492537154,352588579,2732443
1497,INDUSTRIAL GOODS,Lafarge Africa Plc,WAPCO,85,2016,3,2016:Q3,SEP,9,161043882,-40367625,-37402178,-24744326,399833403,506045108,303054217,2740367
1498,INDUSTRIAL GOODS,Lafarge Africa Plc,WAPCO,85,2016,4,2016:Q4,DEC,12,219714112,-22818718,16898781,18553302,390240816,501373697,252421149,2740367
1499,INDUSTRIAL GOODS,Lafarge Africa Plc,WAPCO,85,2017,1,2017:Q1,MAR,3,81310510,9446052,5161086,14467928,404781388,523759821,260376094,2740367
1500,INDUSTRIAL GOODS,Lafarge Africa Plc,WAPCO,85,2017,2,2017:Q2,JUN,6,154839943,18160404,19732389,34802511,404381527,607490544,417573092,2740367
1501,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2017,3,2017:Q3,SEP,9,223668593,1093559,937905,13663847,386284846,809527366,432186488,2745267
1502,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2017,4,2017:Q4,DEC,12,299153305,-34032277,-34601409,-15782377,393651934,587290284,430303529,2787888
1503,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2018,1,2018:Q1,MAR,3,80642656,-2945913,-2001884,-834864,392270017,5625557929,406406039,4336714
1504,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2018,2,2018:Q2,JUN,6,162291526,-6345507,-3902287,-4550582,388121941,546157963,406775394,4336714
1505,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2018,3,2018:Q3,SEP,9,234300122,-14360678,-10373024,-10884086,386518628,545894946,413333807,4336714
1506,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2018,4,2018:Q4,DEC,12,308425456,-19508228,-8801726,-9241118,394488764,540736663,406195574,4336715
1507,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2019,1,2019:Q1,MAR,3,78511734,122822,3144725,2560746,419603074,597197946,372159040,8053898
1508,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2019,2,2019:Q2,JUN,6,160296268,9274050,9008887,8419793,417196191,577454527,349675799,8053899
1509,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2020,1,2020:Q1,MAR,3,63695766,9382279,8066889,8066889,366666132,491813770,138832880,8053899
1510,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2020,2,2020:Q2,JUN,6,120543345,28757176,23329257,23329257,358084630,495790665,143655204,8053899
1511,INDUSTRIAL GOODS,Lafarge Africa Plc ,WAPCO,85,2020,3,2020:Q3,SEP,9,179877441,34291342,28196487,28196487,351458406,510688423,153685731,16107796
1512,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2015,1,2015:Q1,MAR,3,970900,184996,149955,149955,470059,13070151,6330707,3667172
1513,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2015,2,2015:Q2,JUN,6,2353358,431221,396180,396180,470059,13070151,6330707,3667172
1514,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2015,3,2015:Q3,SEP,9,4164826,536322,355954,355954,463137,13990290,7216242,3667172
1515,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2015,4,2015:Q4,DEC,12,5807636,404113,283320,283320,479301,16133430,9552054,3667172
1516,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2016,1,2016:Q1,MAR,3,1320047,134662,115972,115972,465275,14414591,7717243,3667172
1517,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2016,2,2016:Q2,JUN,6,2734957,651430,492876,492876,456611,17595849,10271699,3667172
1518,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2016,3,2016:Q3,SEP ,9,4197525,914702,715392,715392,563904,17455590,10127686,3667172
1519,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2016,4,2016:Q4,DEC,12,5658397,1142880,944461,1175474,569572,19298231,11446289,3667172
1520,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2017,1,2017:Q1,MAR,3,2005267,162935,122267,122267,552025,18706099,10823400,3667172
1521,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2017,2,2017:Q2,JUN,6,3490329,483502,387456,387456,707938,17970900,9712581,3667172
1522,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2017,3,2017:Q3,SEP,9,4994612,553893,401240,401240,709887,16666603,8542384,3667172
1523,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2017,4,2017:Q4,DEC,12,6660744,854273,661878,524416,869351,18571052,10414726,3667172
1524,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2018,1,2018:Q1,MAR,3,3735602,231716,190360,190360,848451,17106430,8673037,3667172
1525,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2018,2,2018:Q2,JUN,6,4770064,527532,382460,382460,1427377,17450505,8932548,3667172
1526,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2018,3,2018:Q3,SEP,9,4770064,527532,382460,382460,1619271,17182298,8828061,3667172
1527,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2018,4,2018:Q4,DEC,12,8024579,958199,736279,746141,1740211,17052479,8568906,3667172
1528,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2019,1,2019:Q1,MAR,3,3057971,328850,256503,250025,1887834,19582497,10848899,3667172
1529,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2019,2,2019:Q2,JUN,6,5418062,639903,479432,489345,1952368,19452872,10479953,3667172
1530,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2019,3,2019:Q3,SEP,9,7288198,840308,652024,661937,2080187,19250087,10114490,3667172
1531,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2019,4,2019:Q4,DEC,12,9341529,951112,741804,741804,2266138,17942357,9083845,3667172
1532,FINANCIAL SERVICES: INSURANCE,Lasaco Assurance Plc,LASACO,86,2020,3,2020:Q3,SEP,9,7665435,1009722,862549,862549,2773960,21993615,13324267,3667172
1533,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc ,LAWUNION,87,2015,3,2015:Q3,SEP,9,2933068,664167,564542,563091,698084,9106790,4373930,1718665
1534,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc ,LAWUNION,87,2015,4,2015:Q4,DEC,12,3922982,328498,280919,276246,681293,8273420,3814755,1718665
1535,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2016,1,2016:Q1,MAR,3,956333,202674,172273,158269,704129,8728517,4111583,1718665
1536,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2016,2,2016:Q2,JUN,6,1930322,361570,307334,326679,695207,8996290,4210946,1718665
1537,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc ,LAWUNION,87,2016,3,2016:Q3,SEP ,9,2932238,610413,518851,568601,694266,9228889,4201623,1718665
1538,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc ,LAWUNION,87,2016,4,2016:Q4,DEC,12,3958462,658643,561851,581065,757799,8580876,3541146,1718665
1539,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc ,LAWUNION,87,2017,1,2017:Q1,MAR,3,1067544,161983,137686,141794,752237,10305299,4580236,2148165
1540,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2017,2,2017:Q2,JUN,6,2158335,374999,318749,477577,744134,10631874,4571028,2148165
1541,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2017,3,2017:Q3,SEP,9,3262151,727869,618689,632336,750587,10355252,4139647,2148165
1542,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2017,4,2017:Q4,DEC,12,4419068,1099198,910707,966302,776463,10031774,3566548,2148165
1543,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2018,1,2018:Q1,MAR,3,1049881,132653,112755,122849,761840,11286843,4698768,2148165
1544,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2018,2,2018:Q2,JUN,6,2142388,428500,364225,362734,751472,10920559,4264452,2148165
1545,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2018,3,2018:Q3,SEP,9,3245553,613872,521791,515730,741256,10989721,4180619,2148165
1546,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2018,4,2018:Q4,DEC,12,4508631,490088,263593,107574,844736,11213280,4840776,2148165
1547,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2019,1,2019:Q1,MAR,3,1152984,76860,65331,64036,831483,12847364,6410824,2148165
1548,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2019,2,2019:Q2,JUN,6,2393842,120844,102718,98922,831264,12866862,6481363,2148165
1549,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2019,3,2019:Q3,SEP,9,3652777,402831,342406,336272,819565,12431538,5808688,2148165
1550,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2019,4,2019:Q4,DEC,12,4924052,923752,830714,819120,823626,12125823,5009348,2148165
1551,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2020,1,2020:Q1,MAR,3,1123159,37593,31954,4150,815147,13361692,6202816,2148165
1552,FINANCIAL SERVICES: INSURANCE,Law Union & Rock Insurance Plc,LAWUNION,87,2020,2,2020:Q2,JUN,6,2274855,218594,185805,171811,806999,13445552,6118944,2148165
1553,SERVICES,Learn Africa Plc ,LEARNAFRCA,88,2015,1,2015:Q1,MAR,3,73926,-116062,-116062,,318123,3258638,531812,385725
1554,SERVICES,Learn Africa Plc ,LEARNAFRCA,88,2015,2,2015:Q2,JUN,6,444373,-167017,-167017,,305854,3862073,633617,385725
1555,SERVICES,Learn Africa Plc ,LEARNAFRCA,88,2015,3,2015:Q3,SEP,9,1275248,5586,3910,,296749,4295231,894171,385725
1556,SERVICES,Learn Africa Plc ,LEARNAFRCA,88,2015,4,2015:Q4,DEC,12,1886939,-618007,-643392,,284394,3585510,840640,385725
1557,SERVICES,Learn Africa Plc ,LEARNAFRCA,88,2016,1,2016:Q1,MAR,3,54343,-173970,-173970,,295731,3213649,642749,385725
1558,SERVICES,Learn Africa Plc ,LEARNAFRCA,88,2016,2,2016:Q2,JUN,6,135698,-352135,-352135,,283738,3241183,848448,385725
1559,SERVICES,Learn Africa Plc ,LEARNAFRCA,88,2016,3,2016:Q3,SEP ,9,1629805,108914,76240,,258795,4661341,1840232,385725
1560,SERVICES,Learn Africa Plc,LEARNAFRCA,88,2016,4,2016:Q4,DEC,12,2009852,134314,237159,237159,274931,4639683,1657654,385725
1561,SERVICES,Learn Africa Plc,LEARNAFRCA,88,2017,1,2017:Q1,MAR,3,224166,-66101,-66101,,270062,4318875,1402947,385725
